Name,xmi_id,CAM,LCAM,NHD,NumAttr,NumOps,NumPubOps,Setters,Getters,Nesting,IFImpl,NOC,NumDesc,NumAnc,DIT,CLD,OpsInh,AttrInh,Dep_Out,Dep_In,NumAssEl_ssc,NumAssEl_sb,NumAssEl_nsb,EC_Attr,IC_Attr,EC_Par,IC_Par,ObjInst,StimSent,StimRecv,StimSelf,ClassifInst,MsgSent,MsgRecv,MsgSelf,Diags
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.ReadListenerImpl,EAID_CEF76348_04B8_45b9_B7DA_BF063F43B6CF,0.33333334,0.6666666,0.5,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.WriteListenerImpl,EAID_33697DC6_F64A_4f22_B246_8CCD8FDDA316,0.3888889,0.6111111,0.3333333,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServlet31Async,EAID_32A6C0E8_C5E6_4229_AFFC_9DA9C375D03C,0.45,0.55,0.43333334,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.ReadListenerImpl,EAID_82F26373_79B1_43b2_BD5E_405ED5F902FF,0.33333334,0.6666666,0.5,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServlet31AsyncRead,EAID_1F885434_D2BC_49f7_9FBF_3B03DBEC440F,0.45,0.55,0.43333334,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServletCDI,EAID_46E92C8A_2C45_45d2_B92E_3403036C57AB,0.625,0.375,0.25,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServletCDIBeanManagerViaCDICurrent,EAID_CBC96942_E290_466d_A7BE_70606FACA955,0.625,0.375,0.25,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServletCDIBeanManagerViaJNDI,EAID_7972747C_1339_46bb_8E4A_0A376AF5BFD2,0.625,0.375,0.25,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServletLargeContentLength,EAID_792C113C_EF36_4606_A540_34E6DE1069BC,0.45,0.55,0.43333334,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServletSetContentLength,EAID_1A82993A_4511_468e_8A6D_2EFDE9C52788,0.45,0.55,0.43333334,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingServletWriter,EAID_73CB34A8_127A_49a7_AE34_8F2E00D729A5,0.45,0.55,0.43333334,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingSession1,EAID_7B544DFB_72C9_4e97_9D35_35C16E299974,0.45,0.55,0.43333334,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingSession2,EAID_82570868_78F1_40f4_9BBB_AC123C4AA92B,0.45,0.55,0.43333334,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EA Model.Starter Class Diagram.com.ibm.websphere.samples.daytrader.web.prims.PingSession3,EAID_B993736C_A114_4b28_A297_5E84436A50FF,0.45,0.55,0.43333334,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
