classname,CBO,IC,OC,CAM,NCO,DIT,RFC,LOC,NCA,xmi_id
daytrader.web.prims.ejb3.PingServlet2Session2EntityCollection,4.000000,0.000000,7.000000,0.450000,4.000000,0.000000,0.000000,72.000000,4.000000,EAID_74538025_B64E_4de7_98B5_9CD6FFCF7CA0
daytrader.web.prims.ejb3.PingServlet2SessionLocal,2.000000,0.000000,4.000000,0.450000,4.000000,0.000000,0.000000,78.000000,4.000000,EAID_4EFBCB32_82DF_47c2_90ED_1B5BD5B0DE36
daytrader.web.prims.ejb3.PingServlet2SessionRemote,2.000000,0.000000,4.000000,0.450000,4.000000,0.000000,0.000000,77.000000,4.000000,EAID_313EC7D1_9EC1_40ec_9EE4_B1292CB707A4
daytrader.web.prims.ejb3.PingServlet2TwoPhase,4.000000,0.000000,7.000000,0.450000,4.000000,0.000000,0.000000,67.000000,4.000000,EAID_A26052D7_3E7A_4cb6_BA01_A79F364CCC47
daytrader.web.websocket.ActionDecoder,2.000000,0.000000,7.000000,0.280000,5.000000,0.000000,5.000000,28.000000,0.000000,EAID_F0136E3B_77BC_442c_8B2F_D472135EE240
daytrader.web.websocket.ActionMessage,1.000000,7.000000,3.000000,0.500000,3.000000,0.000000,0.000000,44.000000,1.000000,EAID_45562C1A_4157_4143_8CF6_842FC0192B31
daytrader.web.websocket.JsonDecoder,1.000000,0.000000,6.000000,0.350000,4.000000,0.000000,6.000000,32.000000,0.000000,EAID_342B40A2_535E_4a35_9511_D1F724134CE6
daytrader.web.websocket.JsonEncoder,1.000000,0.000000,5.000000,0.416667,3.000000,0.000000,0.000000,21.000000,0.000000,EAID_22F249C8_A445_4d7c_8D11_DF6D8E50D33C
daytrader.web.websocket.JsonMessage,0.000000,19.000000,0.000000,0.750000,4.000000,0.000000,0.000000,17.000000,2.000000,EAID_5A610847_D80C_4169_A9AB_C99CF0B97EE0
daytrader.web.websocket.MarketSummaryWebSocket,5.000000,0.000000,21.000000,0.312500,6.000000,0.000000,0.000000,112.000000,2.000000,EAID_70887623_AE61_443f_9B74_A3C31C5512FB
daytrader.web.websocket.RecentStockChangeList,0.000000,4.000000,0.000000,0.333333,3.000000,0.000000,0.000000,43.000000,1.000000,EAID_A11B8BD8_78DA_43d2_AD9B_7A3A6A543B60
